price,area,bedrooms,bathrooms,location,bhk,property_type,furnishing,balcony
₹1.45 Cr,3600,,,Plot/Land for Sale in Super Corridor Indore,,,,
₹3.50 Cr,3150,4,,"4 BHK Flat  for Sale in  BCM Planet, BCM Planet, Nipania, Indore",4,,Semi-Furnished,
₹76 Lac,1500,3,,"3 BHK  House for Sale in Silver Star City, Silicon City Indore",3,House,Semi-Furnished,3
₹74.4 Lac,2400,,,Plot/Land for Sale in Sainath Colony Indore,,,,
₹1.50 Cr,2500,5,,5 BHK  House for Sale in Sainath Colony Indore,5,House,,
₹1.12 Cr,2256,3,,"3 BHK Flat  for Sale in  Telephone Nagar, Indore",3,,,
₹31 Lac,1250,3,,3 BHK  House for Sale in Chitawad Indore,3,House,,
₹30 Lac,850,2,,"2 BHK Flat  for Sale in  Sneh Nagar, Indore",2,,,
₹25 Lac,700,2,,"2 BHK Flat  for Sale in  Sneh Nagar, Indore",2,,,
₹35 Lac,1000,2,,"2 BHK Flat  for Sale in  Juni Indore, Indore",2,,,
₹34 Lac,1120,2,,"2 BHK Flat  for Sale in  Palsikar Colony, Indore",2,,,
₹2.02 Cr,2600,,,Land for Sale in Transport Nagar Indore,,,,
₹36.3 Lac,1200,2,,2 BHK  House for Sale in Clerk Colony Indore,2,House,,
₹25 Lac,700,2,,"2 BHK Flat  for Sale in  Mal Ganj, Indore",2,,,
₹2.75 Cr,806,,,Shop for Sale in Mal Ganj Indore,,,,
₹26 Lac,750,1,,1 BHK  House for Sale in Khatipura Indore,1,House,,
₹70.5 Lac,1500,,,Industrial Land for Sale in Khatipura Indore,,,,
₹2.20 Cr,2700,4,,4 BHK  House for Sale in Nipania Indore,4,House,Semi-Furnished,
₹40 Lac,820,2,,"2 BHK Flat  for Sale in  Gateway Shree Shyam Heights, Gateway Shree Shyam Heights, Bicholi Mardana, Indore",2,,Unfurnished,2
₹98 Lac,1535,3,,3 BHK Flat  for Sale in   Indore,3,,Semi-Furnished,3
₹1.50 Cr,2400,4,,4 BHK Villa for Sale in Vigyan Nagar Indore,4,Villa,Semi-Furnished,3
₹1.10 Cr,1050,,,Land for Sale in Transport Nagar Indore,,,,
₹1.50 Cr,600,,,Shop for Sale in Transport Nagar Indore,,,,
₹80 Lac,720,,,Shop for Sale in Transport Nagar Indore,,,,
₹48 Lac,2000,5,,5 BHK  House for Sale in Kesharbag Indore,5,House,,
₹18 Lac,350,3,,3 BHK  House for Sale in Chandan Nagar Indore,3,House,,
₹26 Lac,600,2,,2 BHK  House for Sale in Chandan Nagar Indore,2,House,,
₹28.8 Lac,800,,,Plot/Land for Sale in Bhangarh Indore,,,,
₹68.5 Lac,1142,,,Plot/Land for Sale in Bhangarh Indore,,,,
₹85 Lac,880,2,,"2 BHK  House for Sale in Kalyan Orchid, MR 10 Indore",2,House,Unfurnished,2
₹42 Lac,1050,,,Plot/Land for Sale in Bhangarh Indore,,,,
₹31.5 Lac,704,2,,"2 BHK Flat  for Sale in  Bhangarh, Indore",2,,,
₹1.25 Cr,1800,2,,2 BHK Villa for Sale in Bhamoridubey Indore,2,Villa,,
